home_club_id,home_club_position,home_club_goals,home_club_manager_name,home_club_name,game_id
202,10,2,Erwin van de Looi,FC Groningen,2459836
403,10,1,Jurgen Streppel,Willem II Tilburg,2459860
306,6,1,Dwight Lodeweges,SC Heerenveen,2459866
202,8,1,Erwin van de Looi,FC Groningen,2459872
234,3,1,Fred Rutten,Feyenoord Rotterdam,2459875
11,3,2,ArsÃ¨ne Wenger,Arsenal FC,2460296
18,3,1,Lucien Favre,Borussia MÃ¶nchengladbach,2460684
42,10,0,Tayfun Korkut,Hannover 96,2460692
16,15,0,JÃ¼rgen Klopp,Borussia Dortmund,2460698
27,1,2,Pep Guardiola,Bayern Munich,2460707
39,9,1,Kasper Hjulmand,1.FSV Mainz 05,2460710
16,15,1,JÃ¼rgen Klopp,Borussia Dortmund,2460716
39,9,2,Kasper Hjulmand,1.FSV Mainz 05,2460728
167,4,3,Markus Weinzierl,FC Augsburg,2460737
33,4,1,Roberto Di Matteo,FC Schalke 04,2460815
82,2,2,Dieter Hecking,VfL Wolfsburg,2460816
39,11,3,Martin Schmidt,1.FSV Mainz 05,2460817
24,8,2,Thomas Schaaf,Eintracht Frankfurt,2460832
60,15,2,Christian Streich,SC Freiburg,2460855
3,12,1,Peter StÃ¶ger,1.FC KÃ¶ln,2460858
86,9,0,Viktor Skrypnyk,SV Werder Bremen,2460866
33,5,0,Roberto Di Matteo,FC Schalke 04,2460870
3,11,3,Peter StÃ¶ger,1.FC KÃ¶ln,2460876
82,2,1,Dieter Hecking,VfL Wolfsburg,2460880
86,7,1,Viktor Skrypnyk,SV Werder Bremen,2460884
44,13,1,PÃ¡l DÃ¡rdai,Hertha BSC,2460902
42,16,1,Michael Frontzeck,Hannover 96,2460908
3,10,2,Peter StÃ¶ger,1.FC KÃ¶ln,2460912
2424,13,1,JoÃ£o de Deus,Gil Vicente FC,2464773
1085,13,0,Domingos PaciÃªncia,VitÃ³ria SetÃºbal FC,2464800
1085,12,0,Domingos PaciÃªncia,VitÃ³ria SetÃºbal FC,2466873
294,1,1,Jorge Jesus,SL Benfica,2469516
8024,15,0,Pedro Emanuel,FC Arouca,2469542
968,7,1,Dennis van Wijk,KVC Westerlo,2469870
36,2,3,Ismail Kartal,Fenerbahce,2469934
2293,9,1,Mesut Bakkal,Konyaspor,2469958
36,4,2,Ismail Kartal,Fenerbahce,2469971
36,4,2,Ismail Kartal,Fenerbahce,2469988
141,3,0,Cesare Prandelli,Galatasaray,2470015
6894,13,4,Mustafa Simsek Ã–zkes,Kayseri Erciyesspor,2470026
524,10,1,Okan Buruk,Gaziantepspor (- 2020),2470062
20,5,3,Senol GÃ¼nes,Bursaspor,2470067
36,2,0,Ismail Kartal,Fenerbahce,2470093
126,15,3,Hikmet Karaman,Caykur Rizespor,2470256
126,14,2,Hikmet Karaman,Caykur Rizespor,2470267
