away_club_id,away_club_position,away_club_goals,away_club_manager_name,away_club_name,game_id
524,16,0,BÃ¼lent Uygun,Gaziantepspor (- 2020),2346098
10484,2,1,Shota Arveladze,Kasimpasa,2346109
2293,13,1,Ugur TÃ¼tÃ¼neker,Konyaspor,2346125
20,9,2,Christoph Daum,Bursaspor,2346137
2293,14,0,Mesut Bakkal,Konyaspor,2346146
825,7,1,Ertugrul Saglam,Eskisehirspor,2346171
2293,11,3,Mesut Bakkal,Konyaspor,2346184
2381,4,2,Roberto Carlos,Sivasspor,2346196
3205,18,1,Domingos PaciÃªncia,Kayserispor,2346220
2292,14,0,Okan Buruk,Elazigspor,2346239
2381,6,1,Roberto Carlos,Sivasspor,2346258
2292,17,0,Okan Buruk,Elazigspor,2346325
20,11,1,Irfan Buz,Bursaspor,2346337
825,11,0,Ertugrul Saglam,Eskisehirspor,2346351
7185,11,2,Apostolos Mantzios,Panthrakikos Komotini,2351889
28956,4,0,Giannis Matzourakis,AEL Kalloni,2351910
21957,13,0,Marinos Ouzounidis,AO Platanias,2351917
128,14,0,Nikolaos Karageorgiou,AO Xanthi,2351928
6676,5,1,Staikos Vergetis,Asteras Tripolis,2351969
417,20,0,Claude Puel,OGC Nice,2353758
1390,15,1,Diego LÃ³pez,Cagliari Calcio,2359306
430,5,0,Vincenzo Montella,ACF Fiorentina,2359334
1627,20,0,Luigi De Canio,Catania FC,2359352
800,15,0,Stefano Colantuono,Atalanta BC,2359381
800,13,0,Stefano Colantuono,Atalanta BC,2359425
398,8,1,Edoardo Reja,SS Lazio,2359460
5,10,0,Clarence Seedorf,AC Milan,2359471
1210,18,0,Domenico Di Carlo,US Livorno 1915,2359498
410,14,0,Francesco Guidolin,Udinese Calcio,2359504
506,1,2,Antonio Conte,Juventus FC,2359532
1210,19,0,Domenico Di Carlo,US Livorno 1915,2359539
7179,,1,VÃ­tor Paneira,CD Tondela,2360139
16,,1,JÃ¼rgen Klopp,Borussia Dortmund,2367096
398,,3,Vladimir Petkovic,SS Lazio,2367198
430,,2,Vincenzo Montella,ACF Fiorentina,2367237
6994,,2,Sergiy Puchkov,Metalurg Zaporizhya (-2016),2367648
660,,3,Mircea Lucescu,Shakhtar Donetsk,2367650
190,,1,StÃ¥le Solbakken,FC Copenhagen,2368442
5,,3,Massimiliano Allegri,AC Milan,2368466
58,,1,John van den Brom,RSC Anderlecht,2368481
16,,2,JÃ¼rgen Klopp,Borussia Dortmund,2368487
1108,,2,Natxo GonzÃ¡lez,Deportivo AlavÃ©s,2368762
979,,3,VÃ­tor Oliveira,Moreirense FC,2369976
4128,6,2,Stanislav Cherchesov,Amkar Perm,2371144
1084,,1,Bernd Schuster,MÃ¡laga CF,2382254
940,,0,Luis Enrique,Celta de Vigo,2382266
506,,0,Antonio Conte,Juventus FC,2384520
631,,1,JosÃ© Mourinho,Chelsea FC,2385041
3368,,1,JoaquÃ­n CaparrÃ³s,Levante UD,2421870
21957,16,0,,AO Platanias,2422830
6195,,2,Rafael BenÃ­tez,SSC Napoli,2423328
128,9,1,Reiner Maurer,AO Xanthi,2423714
3060,3,3,Georgios Paraschos,Atromitos Athens,2423718
631,,0,JosÃ© Mourinho,Chelsea FC,2423908
2671,8,3,Giannis Petrakis,PAS Giannina,2423919
2079,17,1,Ratko Dostanic,Veria NPS,2428055
3060,,0,Georgios Paraschos,Atromitos Athens,2428286
2700,,0,Gadzhi Gadzhiev,Anzhi Makhachkala ( -2022),2437594
12438,12,1,Yuriy Kalitvintsev,Volga Nizhniy Novgorod (- 2016),2446127
350,,3,Nigel Clough,Sheffield United,2446415
5220,9,2,Marinos Ouzounidis,GS Ergotelis,2449818
2079,17,0,Ratko Dostanic,Veria NPS,2450854
610,1,1,Frank de Boer,Ajax Amsterdam,2452013
2671,10,0,Giannis Petrakis,PAS Giannina,2452114
338,4,2,Sergiy Rebrov,Dynamo Kyiv,2453103
6996,12,0,,Goverla Uzhgorod (- 2016),2453109
4482,13,0,Vitaliy Kvartsyanyi,Volyn Lutsk,2453110
281,,0,Manuel Pellegrini,Manchester City,2458586
1455,6,2,Ernie Brandts,FC Dordrecht,2459587
133,10,2,Henk de Jong,SC Cambuur Leeuwarden,2459599
499,16,1,Peter Bosz,Vitesse Arnhem,2459609
1269,4,2,Ron Jans,PEC Zwolle,2459665
1455,17,0,Ernie Brandts,FC Dordrecht,2459667
234,3,1,Fred Rutten,Feyenoord Rotterdam,2459671
202,10,2,Erwin van de Looi,FC Groningen,2459673
317,16,1,Alfred Schreuder,Twente Enschede FC,2459675
403,7,4,Jurgen Streppel,Willem II Tilburg,2459703
1090,4,2,John van den Brom,AZ Alkmaar,2459707
1268,16,1,Henk Fraser,ADO Den Haag,2459717
1269,4,1,Ron Jans,PEC Zwolle,2459731
610,2,2,Frank de Boer,Ajax Amsterdam,2459737
202,8,0,Erwin van de Looi,FC Groningen,2459739
306,6,0,Dwight Lodeweges,SC Heerenveen,2459759
306,6,1,Dwight Lodeweges,SC Heerenveen,2459789
306,7,0,Dwight Lodeweges,SC Heerenveen,2459807
306,7,1,Dwight Lodeweges,SC Heerenveen,2459814
1455,18,0,GÃ©rard de Nooijer,FC Dordrecht,2459816
1090,4,1,John van den Brom,AZ Alkmaar,2459820
317,11,2,Alfred Schreuder,Twente Enschede FC,2459836
202,8,4,Erwin van de Looi,FC Groningen,2459860
403,10,1,Jurgen Streppel,Willem II Tilburg,2459866
234,3,1,Fred Rutten,Feyenoord Rotterdam,2459872
499,5,4,Peter Bosz,Vitesse Arnhem,2459875
873,14,1,Keith Millen,Crystal Palace,2460296
39,6,1,Kasper Hjulmand,1.FSV Mainz 05,2460684
18,2,3,Lucien Favre,Borussia MÃ¶nchengladbach,2460692
42,7,1,Tayfun Korkut,Hannover 96,2460698
16,17,1,JÃ¼rgen Klopp,Borussia Dortmund,2460707
86,18,2,Viktor Skrypnyk,SV Werder Bremen,2460710
18,3,0,Lucien Favre,Borussia MÃ¶nchengladbach,2460716
60,14,2,Christian Streich,SC Freiburg,2460728
41,17,1,Josef Zinnbauer,Hamburger SV,2460737
86,8,1,Viktor Skrypnyk,SV Werder Bremen,2460815
44,17,1,PÃ¡l DÃ¡rdai,Hertha BSC,2460816
24,9,1,Thomas Schaaf,Eintracht Frankfurt,2460817
41,15,1,Josef Zinnbauer,Hamburger SV,2460832
167,6,0,Markus Weinzierl,FC Augsburg,2460855
86,9,1,Viktor Skrypnyk,SV Werder Bremen,2460858
39,12,0,Martin Schmidt,1.FSV Mainz 05,2460866
60,14,0,Christian Streich,SC Freiburg,2460870
533,7,2,Markus Gisdol,TSG 1899 Hoffenheim,2460876
33,5,1,Roberto Di Matteo,FC Schalke 04,2460880
41,18,0,Bruno Labbadia,Hamburger SV,2460884
18,3,2,Lucien Favre,Borussia MÃ¶nchengladbach,2460902
86,8,1,Viktor Skrypnyk,SV Werder Bremen,2460908
33,6,0,Roberto Di Matteo,FC Schalke 04,2460912
2420,2,3,Rui VitÃ³ria,VitÃ³ria GuimarÃ£es SC,2464773
294,3,5,Jorge Jesus,SL Benfica,2464800
2420,3,1,Rui VitÃ³ria,VitÃ³ria GuimarÃ£es SC,2466873
2425,8,0,Pedro Martins,Rio Ave FC,2469516
3327,17,1,Rui Quinta,FC Penafiel,2469542
498,10,0,Peter Maes,KSC Lokeren (- 2020),2469870
1506,13,2,Tolunay Kafkas,Kardemir KarabÃ¼kspor,2469934
6894,14,1,BÃ¼lent Korkmaz,Kayseri Erciyesspor,2469958
2293,10,1,Mesut Bakkal,Konyaspor,2469971
820,11,1,Irfan Buz,Genclerbirligi Ankara,2469988
449,6,3,Ersun Yanal,Trabzonspor,2470015
20698,18,0,Muhammet Yilmaz,Balikesirspor,2470026
20,5,2,Senol GÃ¼nes,Bursaspor,2470062
19771,11,1,Ferudun Yarkin,Akhisarspor,2470067
449,6,0,Ersun Yanal,Trabzonspor,2470093
825,14,0,Michael Skibbe,Eskisehirspor,2470256
2381,15,1,Sergen Yalcin,Sivasspor,2470267
