club_id,domestic_competition_id,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_seats,stadium_name,last_season
19771,TR1,14,21,0,,0,12139,Spor Toto Akhisar Stadyumu,2018
244,FR1,24,25.5,19,79.2,16,67394,Orange Vélodrome,2023
29228,BE1,0,,0,,0,10830,Le Canonnier,2020
3216,TR1,0,,0,,0,25000,Mersin Stadyumu,2015
3508,BE1,25,25.2,13,52,3,12250,Elindus Arena,2022
354,BE1,27,24,9,33.3,2,16672,AFAS Stadion,2023
367,ES1,25,28.2,11,44,6,15105,Campo de Fútbol de Vallecas,2023
379,GB1,25,27.7,18,72,14,62500,London Stadium,2023
380,IT1,27,26.4,21,77.8,11,29739,Arechi,2023
403,NL1,27,25.9,7,25.9,0,14700,Koning Willem II Stadion,2021
40426,RU1,0,,0,,0,20985,Petrovsky,2017
41,L1,30,23.6,15,50,4,57000,Volksparkstadion,2017
443,DK1,24,25.4,17,70.8,4,10418,Vejle Stadion,2023
5724,DK1,27,24.7,13,48.1,2,10300,Cepheus Park Randers,2023
601,BE1,29,24.3,19,65.5,6,9399,Guldensporenstadion,2023
79,L1,28,23.6,11,39.3,6,60449,MHPArena Stuttgart,2023
86,L1,24,26.3,10,41.7,6,42100,Wohninvest-Weserstadion,2023
931,GB1,26,27.3,24,92.3,14,25700,Craven Cottage,2023
964,RU1,25,26.2,12,48,8,63026,Gazprom Arena,2023
1123,GB1,25,26,17,68,12,27244,Carrow Road,2021
1268,NL1,34,23.5,9,26.5,4,15000,Bingoal Stadion,2020
1506,TR1,0,,0,,0,12400,Dr. Necmettin Şeyhoğlu,2017
1531,ES1,18,27.3,5,27.8,0,31388,Manuel Martínez Valero,2022
2282,BE1,29,24.1,18,62.1,9,29062,Jan-Breydel-Stadion,2023
2293,TR1,29,26.6,12,41.4,4,42000,Medaş Konya Büyükşehir Stadyumu,2023
23611,UKR1,0,,0,,0,1678,NTK im. B. M. Bannikova,2020
2431,PO1,27,26.4,19,70.4,3,9288,Estádio José Gomes,2023
2698,RU1,33,26.3,14,42.4,6,45379,Ak Bars Arena,2023
2760,SC1,19,27.9,1,5.3,0,10102,The Energy Check Stadium at Firhill,2017
2944,TR1,30,23.8,1,3.3,0,19626,Osmanlı Stadı,2017
36,TR1,29,27.1,16,55.2,16,47834,Ülker Stadyumu FB Şükrü Saraçoğlu Spor Kompleksi,2023
385,NL1,24,24.9,17,70.8,3,12500,Fortuna Sittard Stadion,2023
468,NL1,23,24.7,13,56.5,3,11026,Sparta-stadion Het Kasteel,2023
583,FR1,29,25,17,58.6,18,49691,Parc des Princes,2023
621,ES1,25,27.1,1,4,4,53289,San Mamés,2023
65,L1,28,24,11,39.3,2,16626,Sportpark Ronhof | Thomas Sommer,2021
6646,TR1,28,26.7,16,57.1,6,74753,Atatürk Olimpiyat,2023
683,GR1,32,26.2,23,71.9,9,32115,Stadio Georgios Karaiskakis,2023
723,NL1,27,24.6,14,51.9,1,4500,Yanmar Stadion,2023
855,FR1,27,25.4,7,25.9,1,18120,Stade du Roudourou,2018
924,TR1,31,25.4,14,45.2,5,7500,Esenyurt Necmi Kadıoğlu Stadyumu,2023
968,BE1,31,24.3,19,61.3,5,8035,Het Kuipje,2023
985,GB1,31,25.6,22,71,22,74879,Old Trafford,2023
11282,TR1,29,25.2,13,44.8,5,10128,Kırbıyık Holding Stadyumu,2023
1132,GB1,33,24.4,25,75.8,14,21994,Turf Moor,2023
1435,NL1,27,24,10,37,2,9909,De Adelaarshorst,2023
150,ES1,25,27.5,13,52,7,60721,Benito Villamarín,2023
152,TR1,31,26.2,15,48.4,4,33919,Samsun Yeni 19 Mayıs Stadyumu,2023
172,BE1,30,24.2,20,66.7,8,15000,Stade du Pays de Charleroi,2023
18303,UKR1,27,23.4,3,11.1,1,7000,KSK Nika,2023
2410,RU1,24,24.2,8,33.3,7,30114,VEB Arena,2023
2503,PO1,28,23.9,14,50,4,28263,Estádio do Bessa Século XXI,2023
26459,UKR1,25,27,2,8,0,7122,Stadion Avangard (2022),2023
2671,GR1,32,25.3,14,43.8,0,7652,Stadio Zosimades,2023
2700,RU1,0,,0,,0,1600,RDYuSSh MinObrNauki RD Politekh Makhachkala,2018
28095,RU1,26,24.4,3,11.5,0,15132,Neftyanik,2021
2999,SC1,28,22.8,9,32.1,0,6018,Fountain of Youth Stadium,2020
3368,ES1,23,27.5,6,26.1,0,26354,Ciutat de València,2021
338,UKR1,25,24.2,3,12,7,16873,Valeriy Lobanovsky Stadion,2023
371,SC1,32,25.1,25,78.1,15,60832,Celtic Park,2023
506,IT1,24,26.6,12,50,16,41507,Allianz Stadium,2023
618,FR1,29,25.1,8,27.6,3,42000,Stade Geoffroy-Guichard,2021
6992,UKR1,22,25.1,6,27.3,0,34164,Stadion Chornomorets (2011),2023
820,TR1,34,26.1,10,29.4,1,20560,Eryaman Stadyumu,2020
1083,RU1,26,24.5,2,7.7,7,45415,Rostov Arena,2023
1095,FR1,29,23.1,16,57.1,5,21877,Stade de l'Aube,2022
121,RU1,27,25.1,11,40.7,10,25716,VTB-Arena,2023
1420,FR1,27,24.2,12,44.4,5,19350,Stade Raymond Kopa,2022
16245,UKR1,0,,0,,0,5826,SK Sevastopol,2013
22110,DK1,23,24.6,4,17.4,1,4000,Helsingør Ny Stadion,2017
23826,L1,27,24.9,18,66.7,18,47069,Red Bull Arena,2023
24245,TR1,12,25.8,3,30,1,3513,Ümraniye Belediyesi Şehir Stadı,2022
2687,ES1,28,28.5,8,28.6,2,21094,Nuevo Mirandilla,2023
2696,RU1,27,24.9,7,25.9,6,42347,Solidarnost Samara Arena,2023
2919,IT1,30,26.4,11,36.7,3,16917,U-Power Stadium - Brianteo,2023
317,NL1,26,23.8,10,38.5,3,30205,De Grolsch Veste,2023
3209,TR1,28,29,14,50,3,2500,Pendik Stadı,2023
339,UKR1,0,,0,,0,24381,Meteor,2016
3524,FR1,24,26.4,15,62.5,5,13000,Stade Gabriel-Montpied,2023
398,IT1,29,26.8,17,58.6,10,73261,Olimpico di Roma,2023
4171,IT1,31,26.7,16,51.6,2,16867,Ciro Vigorito,2020
418,ES1,23,27.1,15,65.2,19,81044,Santiago Bernabéu,2023
49702,RU1,25,25.5,9,36,7,44242,Nizhny Novgorod Stadium,2023
54189,BE1,31,24.6,18,58.1,2,11000,Edmond Machtensstadion,2023
6574,IT1,27,25.9,16,59.3,10,21584,Mapei Stadium - Città del Tricolore,2023
7179,PO1,26,22.8,12,46.2,2,5000,Estádio João Cardoso,2021
720,PO1,28,26,18,64.3,7,50033,Estádio do Dragão,2023
738,FR1,29,24.6,16,55.2,6,25178,Stade Océane,2023
89,L1,28,26.8,16,57.1,12,22012,Stadion An der Alten Försterei,2023
940,ES1,24,26.1,11,45.8,9,29000,Abanca Balaídos,2023
1387,IT1,20,25.5,2,10,0,15373,Artemio Franchi,2012
1390,IT1,30,26.8,14,46.7,9,16416,Unipol Domus,2023
1416,FR1,24,24.1,10,41.7,7,12999,Stade Crédit Agricole la Licorne,2019
1467,TR1,31,23.3,10,32.3,0,19713,Gürsel Aksel Stadyumu,2021
167,L1,32,24.6,20,62.5,6,30660,WWK ARENA,2023
232,RU1,27,24.9,9,33.3,13,44571,Otkrytie Bank Arena,2023
2420,PO1,30,24.6,13,43.3,4,30029,Estádio D. Afonso Henriques,2023
2424,PO1,28,24.3,17,60.7,3,12046,Estádio Cidade de Barcelos,2023
2439,RU1,0,,0,,0,31654,Kuban Stadium,2015
2703,RU1,0,,0,,0,32464,Republican Stadium Spartak,2012
289,GB1,26,23.5,12,46.2,6,48707,Stadium of Light,2016
2921,IT1,28,24.6,6,21.4,1,20476,Adriatico,2016
3,L1,31,25.1,8,25.8,6,50000,RheinEnergieSTADION,2023
3719,RU1,26,24.7,7,26.9,1,18636,Arena Khimki,2022
3729,RU1,27,27.4,2,7.4,1,19241,Arsenal,2021
3840,TR1,32,26.6,17,53.1,7,33000,Yeni Adana Stadyumu,2023
430,IT1,31,24.5,16,51.6,13,43147,Artemio Franchi,2023
4482,UKR1,0,,0,,0,12080,Stadion Avangard,2016
48726,UKR1,31,23.3,5,16.1,1,34725,Arena Lviv,2023
5,IT1,28,25.9,21,75,15,75923,Giuseppe Meazza,2023
512,GB1,24,26.7,9,37.5,6,30089,bet365 Stadium,2017
5818,DK1,22,24.8,4,18.2,2,7500,DS Arena,2019
60949,GR1,28,25.9,16,57.1,2,22700,Panthessaliko Stadio,2023
678,DK1,28,24.4,11,39.3,3,19433,Ceres Park,2023
7775,TR1,30,24.2,15,50,5,25000,Mersin Stadyumu,2023
826,FR1,29,25.5,15,51.7,12,38223,Stade Bollaert-Delelis,2023
8838,UKR1,7,27.4,0,,0,14628,Zirka,2017
897,ES1,24,27.7,3,12.5,0,32912,Abanca Riazor,2017
987,SC1,22,25.6,15,68.2,5,13750,Fir Park,2023
1063,DK1,25,22.7,14,56,4,10000,Viborg Stadion,2023
1085,PO1,29,26,10,34.5,0,18642,Estádio do Bonfim,2019
11,GB1,25,25.2,18,72,21,60704,Emirates Stadium,2023
126,TR1,36,23.9,18,50,6,15332,Çaykur Didi,2023
1627,IT1,27,26,5,18.5,0,20204,Cibali - Angelo Massimino,2013
16795,ES1,24,27.7,7,29.2,4,19336,Nuevo Los Cármenes,2023
204,BE1,0,,0,,0,14538,Herman Vanderpoortenstadion,2014
2227,UKR1,0,,0,,0,19978,RS Lokomotiv,2013
2239,IT1,29,25.4,9,30,2,16003,Giovanni Zini,2022
252,IT1,27,26.3,20,74.1,8,34901,Luigi Ferraris,2023
281,GB1,24,26.6,17,70.8,20,55017,Etihad Stadium,2023
