game_id,competition_id,season,round,date,aggregate,competition_type
2698155,GB1,2016,10. Matchday,29/10/16,1:01,domestic_league
2698273,GB1,2016,24. Matchday,04/02/17,1:00,domestic_league
2704361,L1,2016,13. Matchday,03/12/16,1:01,domestic_league
2716658,UKR1,2016,4. Matchday,14/08/16,3:00,domestic_league
2718951,ES1,2016,25. Matchday,28/02/17,2:02,domestic_league
2720982,PO1,2016,26. Matchday,19/03/17,1:01,domestic_league
2722619,TR1,2016,3. Matchday,10/09/16,3:01,domestic_league
2722637,TR1,2016,5. Matchday,24/09/16,2:02,domestic_league
2722757,TR1,2016,19. Matchday,30/01/17,5:01,domestic_league
2725494,IT1,2016,3. Matchday,12/09/16,2:01,domestic_league
2726516,IT1,2016,5. Matchday,21/09/16,0:02,domestic_league
2726543,IT1,2016,8. Matchday,16/10/16,1:03,domestic_league
2726583,IT1,2016,12. Matchday,06/11/16,1:02,domestic_league
2726595,IT1,2016,13. Matchday,19/11/16,1:00,domestic_league
2726606,IT1,2016,14. Matchday,26/11/16,1:04,domestic_league
2726634,IT1,2016,17. Matchday,17/12/16,2:00,domestic_league
2726688,IT1,2016,22. Matchday,29/01/17,0:02,domestic_league
2726817,IT1,2016,35. Matchday,07/05/17,2:02,domestic_league
2731798,UKR1,2016,14. Matchday,05/11/16,1:00,domestic_league
2731821,UKR1,2016,18. Matchday,11/12/16,2:03,domestic_league
2731843,UKR1,2016,21. Matchday,11/03/17,0:01,domestic_league
2732082,BE1,2016,4. Matchday,20/08/16,2:02,domestic_league
2732094,BE1,2016,6. Matchday,09/09/16,1:00,domestic_league
2732127,BE1,2016,17. Matchday,04/12/16,1:03,domestic_league
2732212,BE1,2016,22. Matchday,22/01/17,0:03,domestic_league
2755782,RU1,2016,6. Matchday,11/09/16,0:05,domestic_league
2763364,NLP,2016,Second Round,26/10/16,1:00,domestic_cup
2768403,POCP,2016,Second Round,26/10/16,3:01,domestic_cup
2813600,RU1,2016,19. Matchday,10/03/17,2:00,domestic_league
2814287,FAC,2016,Third Round Replay,17/01/17,2:00,domestic_cup
2818508,GR1,2016,19. Matchday,05/02/17,3:02,domestic_league
